件/个
袋
桶
蒲式耳
箱
厘米
立方米
英尺
加仑
克
英寸
千克
千升
升
公吨
英吨
米
毫克
毫升
毫米
盎司
包
双
磅
夸脱
套
美吨
平方英尺
平方英寸
平方米
平方码
吨
码
盒
BOU(药品计量单位)
台
盒(Case/Cases)
卷
条
串
把
小时
卡
瓦特
每个字母
